id_cliente,edad,nivel_ingreso,visitas_mes,compras_mes,gasto_publicidad_dirigida,satisfaccion,miembro_premium,abandono,tipo_dispositivo,region,ingreso_anual
CL-100047,51.0,32018.87,9,2,26.95,4.5,0,0,móvil,norte,41.49
CL-100048,42.0,40400.27,8,2,13.48,3.3,1,0,tablet,oeste,75.88
CL-100049,18.0,33941.27,11,1,16.9,4.1,0,0,móvil,oeste,20.2
CL-100050,42.0,28786.91,13,1,33.89,5.0,0,0,móvil,norte,31.9
CL-100051,33.0,39280.72,10,0,26.46,3.5,0,0,tablet,oeste,0.0
CL-100052,30.0,20401.5,12,1,14.75,4.8,1,0,tablet,este,36.46
CL-100053,45.0,27750.8,5,0,9.76,2.1,1,0,móvil,oeste,0.0
CL-100054,50.0,27989.12,10,2,13.6,3.2,1,0,móvil,norte,71.09
CL-100055,49.0,17630.47,9,2,20.1,3.9,0,0,móvil,oeste,57.37
CL-100056,28.0,25801.26,16,3,3.97,3.5,0,0,móvil,oeste,84.65
CL-100057,34.0,9250.4,13,2,36.47,4.0,0,1,escritorio,este,54.73
CL-100058,42.0,49121.78,11,1,18.35,2.9,0,0,móvil,norte,29.4
CL-100059,50.0,20625.86,7,1,24.81,5.0,0,0,móvil,este,26.29
CL-100060,32.0,45861.14,8,1,14.35,4.7,0,0,tablet,oeste,35.4
CL-100061,36.0,30380.85,5,1,3.57,4.1,0,0,móvil,sur,38.88
CL-100062,25.0,35648.64,11,3,28.96,2.9,0,0,móvil,este,79.28
CL-100063,24.0,25112.0,11,1,20.97,3.6,0,0,tablet,norte,30.06
CL-100064,48.0,32079.3,15,0,36.22,4.3,0,0,móvil,oeste,0.0
CL-100065,54.0,36504.9,12,0,0.0,3.2,1,0,escritorio,este,0.0
CL-100066,37.0,36645.52,12,1,19.33,4.7,0,0,móvil,oeste,36.98
CL-100067,50.0,37747.73,11,1,16.71,3.9,1,0,escritorio,este,36.22
CL-100068,42.0,26316.67,6,0,11.1,3.5,0,1,tablet,sur,0.0
CL-100069,30.0,25196.4,15,2,29.33,4.3,0,1,escritorio,norte,61.63
CL-100070,42.0,14058.24,15,0,18.56,3.0,0,0,móvil,norte,0.0
CL-100071,56.0,35232.19,6,0,2.51,3.4,0,0,escritorio,sur,0.0
CL-100072,38.0,40823.79,8,1,20.51,3.2,1,0,móvil,sur,30.92
CL-100073,57.0,46159.82,19,6,13.64,2.5,0,0,escritorio,este,147.08
CL-100074,18.0,33051.73,10,0,16.89,2.1,0,0,móvil,norte,0.0
CL-100075,48.0,22335.2,15,1,15.2,3.0,0,0,móvil,este,27.61
CL-100076,39.0,13029.04,11,1,37.63,3.1,0,1,móvil,norte,23.97
CL-100077,34.0,40416.67,14,1,31.13,4.1,0,0,móvil,norte,34.12
CL-100078,39.0,12037.23,12,0,19.54,3.3,0,0,escritorio,sur,0.0
CL-100079,18.0,26593.96,9,0,35.35,4.0,0,0,móvil,oeste,0.0
CL-100080,35.0,27756.93,13,3,38.27,2.5,0,0,móvil,sur,99.65
CL-100081,42.0,29305.45,14,2,21.54,3.8,0,0,tablet,norte,65.66
CL-100082,56.0,30358.03,8,0,5.65,2.6,0,0,escritorio,oeste,0.0
CL-100083,32.0,31381.48,11,1,15.07,3.3,0,0,móvil,norte,28.45
CL-100084,28.0,8000.0,13,2,30.32,4.3,0,0,móvil,norte,47.5
CL-100085,32.0,30146.56,16,2,23.1,3.4,1,0,móvil,este,81.18
CL-100086,49.0,8000.0,14,1,21.34,2.9,1,0,escritorio,oeste,35.9
CL-100087,42.0,37322.18,5,0,23.64,4.5,0,0,móvil,oeste,0.0
CL-100088,32.0,24448.75,3,0,2.57,4.2,0,0,móvil,norte,0.0
CL-100089,44.0,8429.63,11,0,9.68,4.6,0,0,escritorio,norte,0.0
CL-100090,39.0,21857.95,8,1,40.88,2.7,0,0,escritorio,oeste,33.05
CL-100091,50.0,24299.25,7,1,21.01,2.3,0,0,móvil,norte,27.35
CL-100092,30.0,41907.0,12,2,29.27,4.7,0,0,móvil,sur,57.55
CL-100093,34.0,31966.38,14,1,31.26,2.7,0,0,móvil,norte,27.61
CL-100094,33.0,33444.45,9,3,21.94,3.6,1,0,móvil,este,93.43
CL-100095,20.0,41812.22,11,2,9.79,3.5,0,0,tablet,oeste,53.22
CL-100096,42.0,29038.56,14,3,30.96,3.1,0,0,escritorio,norte,87.43
CL-100097,41.0,37541.88,14,3,28.79,2.7,0,0,móvil,norte,97.39
CL-100098,38.0,36838.61,12,2,35.85,3.3,0,0,tablet,este,68.12
CL-100099,35.0,17135.31,10,0,0.0,4.2,0,0,móvil,este,0.0
CL-100100,21.0,44729.84,5,0,9.61,3.2,0,0,móvil,norte,0.0
CL-100101,33.0,15796.98,12,0,28.49,2.7,1,0,tablet,sur,0.0
CL-100102,34.0,39173.67,5,0,13.34,3.7,0,0,escritorio,sur,0.0
CL-100103,28.0,14829.27,8,0,4.1,2.2,0,0,móvil,oeste,0.0
CL-100104,36.0,36012.37,8,0,25.91,3.8,0,0,escritorio,norte,0.0
CL-100105,43.0,48619.15,8,2,16.55,4.0,0,1,móvil,sur,77.74
CL-100106,61.0,27870.21,10,2,12.99,3.3,0,0,tablet,sur,44.71
CL-100107,40.0,27436.44,14,6,19.05,4.2,0,0,móvil,norte,179.09
CL-100108,41.0,36104.4,14,2,22.58,3.5,1,0,móvil,oeste,72.3
CL-100109,37.0,26706.04,6,0,27.82,3.4,1,0,escritorio,oeste,0.0
CL-100110,18.0,48182.79,10,0,24.8,2.9,1,1,escritorio,oeste,0.0
CL-100111,38.0,31921.92,13,1,18.85,4.3,0,0,escritorio,oeste,33.79
CL-100112,39.0,26798.3,15,1,11.25,3.3,0,0,móvil,este,26.81
CL-100113,68.0,24597.14,7,3,18.24,3.4,0,1,móvil,este,96.96
CL-100114,36.0,20670.52,14,1,35.09,4.1,0,0,móvil,norte,20.57
CL-100115,42.0,23722.45,5,0,6.23,3.0,0,0,móvil,sur,0.0
CL-100116,38.0,26493.27,9,0,20.11,3.1,0,0,móvil,este,0.0
CL-100117,24.0,25123.61,9,2,4.94,3.6,0,1,móvil,oeste,57.65
CL-100118,52.0,23418.25,10,2,22.23,2.5,0,0,móvil,norte,58.22
CL-100119,47.0,50988.41,14,3,19.49,3.9,0,0,escritorio,oeste,96.19
CL-100120,47.0,19699.05,9,1,16.48,3.6,0,1,móvil,sur,26.5
CL-100121,27.0,31466.33,12,2,28.3,2.4,0,0,móvil,oeste,51.69
CL-100122,55.0,35925.21,7,1,8.13,2.1,0,0,escritorio,sur,30.48
CL-100123,21.0,36301.08,11,1,23.25,3.2,0,0,móvil,norte,27.79
CL-100124,45.0,29413.93,11,2,7.08,3.3,0,1,móvil,este,65.73
CL-100125,64.0,27592.97,10,1,14.12,4.5,0,0,móvil,este,35.27
CL-100126,26.0,34515.47,10,1,15.42,5.0,0,0,móvil,oeste,37.93
CL-100127,31.0,32665.22,11,0,3.47,3.0,0,0,escritorio,oeste,0.0
CL-100128,39.0,27410.41,16,1,39.34,3.0,0,0,móvil,sur,30.33
CL-100129,32.0,14381.21,4,1,2.16,4.6,0,0,escritorio,norte,24.88
CL-100130,19.0,25320.76,5,1,5.13,3.9,0,0,escritorio,norte,33.63
CL-100131,39.0,18534.5,9,1,30.63,5.0,0,0,móvil,norte,26.57
CL-100132,25.0,23328.4,8,0,20.58,3.4,0,0,móvil,oeste,0.0
CL-100133,44.0,30332.23,16,2,41.31,4.3,0,0,móvil,oeste,73.25
CL-100134,27.0,33587.36,13,0,28.58,5.0,0,0,escritorio,norte,0.0
CL-100135,57.0,47804.53,6,1,18.21,2.7,0,0,móvil,oeste,32.35
CL-100136,29.0,24625.94,11,3,15.8,2.9,0,0,móvil,norte,63.28
CL-100137,34.0,37746.26,12,1,12.67,3.9,0,0,tablet,norte,28.01
CL-100138,48.0,33059.6,8,0,21.23,3.6,1,0,tablet,norte,0.0
CL-100139,23.0,42959.98,7,2,7.98,3.7,0,0,móvil,norte,70.05
CL-100140,41.0,35762.29,9,0,0.0,3.1,0,0,móvil,norte,0.0
CL-100141,54.0,19915.19,4,0,10.81,3.6,0,0,móvil,norte,0.0
CL-100142,19.0,12769.54,9,0,20.41,3.3,0,0,móvil,este,0.0
CL-100143,40.0,33112.62,14,2,27.85,4.0,0,0,móvil,norte,42.22
CL-100144,41.0,24715.49,13,1,36.19,4.3,0,0,móvil,este,30.1
CL-100145,47.0,20196.86,8,1,7.14,2.5,0,0,móvil,este,26.07
CL-100146,23.0,17324.22,9,3,34.93,4.5,0,1,escritorio,sur,108.8
CL-100147,22.0,31609.75,10,1,28.54,3.6,0,0,móvil,sur,31.08
CL-100148,44.0,45077.08,11,0,27.9,4.3,1,0,móvil,norte,0.0
CL-100149,42.0,25913.28,14,4,19.87,3.5,0,1,móvil,sur,108.09
CL-100150,41.0,35902.7,8,0,19.58,4.4,0,0,móvil,norte,0.0
CL-100151,42.0,28977.34,13,2,31.64,4.2,0,0,móvil,sur,63.28
CL-100152,30.0,17106.18,6,1,11.85,3.9,0,0,móvil,oeste,28.41
CL-100153,41.0,37348.11,11,3,27.03,3.6,0,0,móvil,norte,83.84
CL-100154,42.0,19053.08,12,2,36.11,4.0,0,0,móvil,oeste,62.15
CL-100155,29.0,30216.27,13,3,12.26,5.0,1,0,móvil,norte,140.6
CL-100156,60.0,26584.8,13,2,39.9,4.4,0,0,escritorio,este,67.9
CL-100157,44.0,38930.77,12,0,8.65,4.1,0,0,móvil,oeste,0.0
CL-100158,24.0,19418.49,8,1,2.31,3.2,0,0,móvil,oeste,34.52
CL-100159,46.0,33908.7,9,1,21.36,3.2,1,0,móvil,norte,32.51
CL-100160,26.0,21602.03,6,0,16.2,3.1,0,0,móvil,sur,0.0
CL-100161,47.0,24888.95,10,0,24.05,2.7,0,0,móvil,norte,0.0
CL-100162,52.0,8000.0,11,2,19.32,4.2,0,0,móvil,norte,68.91
CL-100163,28.0,50920.99,13,4,22.23,3.7,1,0,móvil,norte,126.67
CL-100164,50.0,35505.57,11,2,31.81,3.8,0,1,móvil,este,58.86
CL-100165,43.0,22326.53,12,2,30.67,2.5,1,1,escritorio,oeste,64.57
CL-100166,48.0,18753.44,9,0,31.72,3.1,0,0,móvil,oeste,0.0
CL-100167,61.0,25043.51,6,0,8.59,3.5,1,0,móvil,oeste,0.0
CL-100168,35.0,37168.8,10,1,27.97,2.8,1,0,móvil,oeste,36.76
CL-100169,29.0,11079.15,18,0,49.33,2.8,0,0,móvil,norte,0.0
CL-100170,27.0,28584.16,14,2,26.27,2.9,0,0,escritorio,oeste,56.39
CL-100171,28.0,47706.42,7,0,18.85,4.0,0,0,móvil,norte,0.0
CL-100172,37.0,18660.54,7,1,13.92,1.8,0,0,móvil,norte,19.75
CL-100173,42.0,30803.85,10,1,18.52,3.5,0,1,móvil,este,24.96
CL-100174,41.0,52033.1,7,0,23.72,4.7,0,0,móvil,sur,0.0
CL-100175,48.0,36321.52,8,1,7.85,4.3,0,0,escritorio,este,31.41
CL-100176,38.0,31259.24,8,1,11.55,4.4,0,0,móvil,oeste,30.27
CL-100177,55.0,35066.36,13,0,31.21,3.4,0,0,móvil,norte,0.0
CL-100178,35.0,25991.35,9,1,28.46,5.0,0,0,móvil,sur,27.91
CL-100179,71.0,42996.31,12,2,13.31,3.2,0,0,móvil,norte,51.23
CL-100180,46.0,26006.7,12,0,20.16,3.9,0,1,móvil,oeste,0.0
CL-100181,28.0,10408.18,18,2,46.93,4.0,0,0,tablet,oeste,52.56
CL-100182,25.0,26086.97,5,0,11.93,2.8,0,0,móvil,sur,0.0
CL-100183,44.0,20332.65,11,1,26.3,2.2,0,0,escritorio,sur,26.71
CL-100184,35.0,27188.06,11,2,20.72,4.2,0,0,escritorio,oeste,51.12
CL-100185,47.0,27409.16,8,1,12.4,3.0,0,1,móvil,norte,28.23
CL-100186,44.0,41974.23,10,1,1.52,3.5,1,0,móvil,este,37.18
CL-100187,37.0,36952.93,14,3,20.98,3.9,0,0,móvil,norte,89.08
CL-100188,28.0,32632.65,4,1,5.79,3.6,1,0,escritorio,oeste,30.77
CL-100189,20.0,29970.55,11,1,9.29,4.1,0,0,escritorio,sur,24.0
CL-100190,33.0,19411.42,8,0,15.35,3.9,0,0,móvil,norte,0.0
CL-100191,48.0,8188.25,13,2,30.94,4.0,0,0,escritorio,este,52.79
CL-100192,41.0,31131.6,4,1,7.2,3.9,0,0,tablet,norte,20.58
CL-100193,23.0,37946.41,7,1,19.14,2.6,0,0,tablet,oeste,31.34
CL-100194,40.0,28916.66,6,1,1.23,3.6,0,0,móvil,norte,33.63
CL-100195,43.0,24651.46,7,1,19.53,3.9,0,0,escritorio,norte,27.44
CL-100196,27.0,34645.02,13,4,54.36,5.0,0,0,móvil,este,139.19
CL-100197,40.0,29166.68,15,3,24.78,3.9,0,1,móvil,oeste,80.32
CL-100198,39.0,46857.44,6,0,14.05,3.5,0,0,tablet,norte,0.0
CL-100199,24.0,42327.28,8,1,18.89,4.1,0,0,móvil,sur,36.51
CL-100200,42.0,39595.08,10,1,16.18,3.1,0,0,escritorio,norte,30.05
CL-100201,45.0,37577.34,9,1,26.25,4.6,0,0,tablet,sur,36.06
CL-100202,51.0,17098.33,9,3,18.99,3.5,0,0,móvil,este,96.39
CL-100203,51.0,36629.94,8,0,33.82,3.4,0,1,escritorio,norte,0.0
CL-100204,21.0,33763.26,10,1,34.51,2.6,0,0,móvil,sur,15.48
CL-100205,27.0,36064.25,11,3,17.37,3.3,0,1,móvil,norte,103.55
CL-100206,44.0,34926.09,9,0,26.27,3.5,0,0,escritorio,oeste,0.0
CL-100207,44.0,34527.63,8,2,17.67,4.8,1,0,móvil,oeste,75.5
CL-100208,44.0,57008.66,15,3,42.91,3.3,0,0,móvil,sur,71.11
CL-100209,75.0,29238.14,6,0,7.44,3.5,1,0,móvil,norte,0.0
CL-100210,45.0,39363.37,10,1,15.6,4.1,0,1,escritorio,oeste,37.1
CL-100211,52.0,25290.1,9,0,21.51,3.0,0,0,móvil,este,0.0
CL-100212,49.0,37906.42,13,1,25.85,3.3,0,0,móvil,este,25.27
CL-100213,46.0,39393.2,7,1,5.87,4.5,0,0,móvil,sur,39.96
CL-100214,34.0,33644.26,7,3,21.65,2.5,0,0,móvil,norte,81.59
CL-100215,47.0,46692.47,8,0,13.59,3.1,0,0,escritorio,norte,0.0
CL-100216,29.0,21157.24,6,0,7.09,3.9,0,0,móvil,norte,0.0
CL-100217,35.0,25127.79,13,1,35.23,3.9,0,0,escritorio,norte,24.75
CL-100218,32.0,32123.8,12,3,41.14,5.0,0,0,móvil,oeste,103.79
CL-100219,39.0,38808.07,7,1,17.36,3.7,1,0,móvil,oeste,49.54
CL-100220,66.0,31794.3,12,0,32.52,3.2,0,0,tablet,norte,0.0
CL-100221,18.0,42857.59,10,2,19.39,3.3,0,0,móvil,oeste,60.35
CL-100222,46.0,23383.1,6,2,30.18,4.4,0,0,tablet,oeste,77.17
CL-100223,19.0,18594.22,11,1,33.97,3.1,0,0,móvil,norte,31.9
CL-100224,32.0,33081.28,15,1,8.26,3.5,0,1,móvil,este,28.54
CL-100225,51.0,29228.2,7,0,0.0,4.2,0,0,móvil,este,0.0
CL-100226,39.0,35428.64,14,1,21.33,3.4,0,0,móvil,norte,29.23
CL-100227,25.0,29725.98,12,0,10.54,4.0,0,0,escritorio,norte,0.0
CL-100228,29.0,26599.8,10,0,28.78,2.5,0,0,móvil,sur,0.0
CL-100229,46.0,29250.62,10,2,25.67,2.9,0,1,móvil,este,47.03
CL-100230,29.0,30288.49,13,0,37.5,3.2,0,0,escritorio,sur,0.0
CL-100231,41.0,26950.19,13,1,9.43,2.6,0,1,móvil,sur,28.32
CL-100232,39.0,27968.68,10,0,25.77,2.8,1,0,móvil,norte,0.0
CL-100233,30.0,25964.07,8,0,25.92,3.1,0,0,tablet,norte,0.0
CL-100234,64.0,38566.65,7,1,3.16,5.0,0,0,escritorio,oeste,31.86
CL-100235,46.0,31940.21,10,0,7.28,3.9,1,0,móvil,oeste,0.0
CL-100236,18.0,52567.52,7,4,12.69,4.2,0,1,tablet,este,140.67
CL-100237,40.0,31607.05,10,0,28.57,4.1,0,0,escritorio,norte,0.0
CL-100238,30.0,24491.43,10,0,14.33,2.0,0,0,escritorio,oeste,0.0
CL-100239,48.0,56706.75,13,2,24.52,3.7,0,1,móvil,norte,61.78
CL-100240,28.0,34136.26,9,3,8.9,3.2,0,0,móvil,norte,75.26
CL-100241,37.0,39901.25,13,4,28.13,2.5,0,0,móvil,norte,104.8
CL-100242,44.0,35921.03,11,2,18.67,3.9,0,0,móvil,norte,59.99
CL-100243,48.0,36230.11,11,4,15.84,2.3,0,0,móvil,este,105.22
CL-100244,24.0,35356.54,7,2,12.98,3.6,0,0,escritorio,norte,67.38
CL-100245,34.0,18979.15,13,0,40.05,3.4,0,0,móvil,oeste,0.0
CL-100246,32.0,33675.29,13,3,25.07,3.0,0,1,escritorio,sur,90.42
CL-100247,30.0,16751.39,12,1,24.85,4.3,0,0,escritorio,norte,21.45
CL-100248,59.0,28256.37,10,1,31.23,3.5,0,0,móvil,oeste,40.89
CL-100249,43.0,22743.83,5,0,2.91,3.8,0,1,escritorio,este,0.0
CL-100250,23.0,33574.7,13,2,27.1,4.1,0,0,móvil,oeste,63.22
CL-100251,49.0,33341.26,9,1,31.87,4.2,0,0,móvil,sur,27.0
CL-100252,63.0,34811.46,15,3,26.47,3.7,1,0,escritorio,oeste,113.2
CL-100253,50.0,32872.97,11,1,21.63,3.0,0,0,móvil,norte,29.31
CL-100254,20.0,23931.75,10,0,23.24,3.5,0,0,móvil,este,0.0
CL-100255,32.0,27389.97,6,0,6.55,4.1,0,0,escritorio,norte,0.0
CL-100256,53.0,39203.96,10,1,25.06,3.2,0,0,móvil,norte,25.75
CL-100257,30.0,40678.57,15,3,14.37,3.9,0,0,móvil,este,61.1
CL-100258,43.0,18532.17,8,0,20.55,3.1,1,0,tablet,sur,0.0
CL-100259,47.0,14690.72,16,1,34.34,4.2,0,0,móvil,este,25.83
CL-100260,27.0,22731.11,9,1,16.04,3.5,0,0,escritorio,norte,29.94
CL-100261,37.0,40452.08,10,1,30.86,2.9,0,0,tablet,este,36.51
CL-100262,18.0,42148.84,9,0,6.58,5.0,0,0,tablet,sur,0.0
CL-100263,26.0,20752.88,12,0,18.42,3.7,0,0,móvil,norte,0.0
CL-100264,35.0,33073.09,5,0,19.05,1.8,0,0,escritorio,este,0.0
CL-100265,23.0,48344.31,3,2,4.34,3.0,0,0,escritorio,este,58.53
CL-100266,58.0,34153.11,11,4,23.46,4.6,0,0,móvil,oeste,138.96
CL-100267,21.0,44215.03,6,1,6.96,4.2,0,1,móvil,oeste,22.74
CL-100268,33.0,39987.27,9,2,16.18,4.5,0,0,escritorio,este,59.37
CL-100269,40.0,20898.01,7,0,3.87,3.4,0,0,móvil,sur,0.0
CL-100270,55.0,28100.19,10,1,16.1,4.2,0,1,tablet,este,32.03
CL-100271,21.0,30347.54,15,2,20.6,3.4,1,0,móvil,sur,86.28
CL-100272,52.0,31041.33,7,1,23.36,3.8,1,0,móvil,sur,36.84
CL-100273,38.0,39163.29,10,0,12.4,2.7,0,0,móvil,norte,0.0
CL-100274,26.0,34086.85,13,1,34.02,3.4,0,0,móvil,oeste,26.7
CL-100275,44.0,8000.0,12,0,30.91,1.8,0,0,móvil,oeste,0.0
CL-100276,40.0,16871.6,9,1,14.97,3.5,0,0,tablet,oeste,31.33
CL-100277,31.0,8126.19,12,2,17.59,3.0,0,0,móvil,este,57.21
CL-100278,39.0,31753.65,7,2,15.4,3.7,0,0,móvil,norte,66.15
CL-100279,33.0,32404.88,9,2,4.49,2.8,0,1,móvil,este,55.74
CL-100280,39.0,32832.25,4,0,4.38,3.5,0,0,móvil,sur,0.0
CL-100281,46.0,20410.72,12,2,26.6,5.0,0,0,móvil,este,71.29
CL-100282,57.0,36741.44,8,0,16.25,3.5,0,1,escritorio,oeste,0.0
CL-100283,23.0,37162.62,13,3,45.94,3.2,1,0,escritorio,oeste,95.98
CL-100284,64.0,17448.51,10,0,12.11,3.7,0,0,móvil,norte,0.0
CL-100285,18.0,15339.62,8,1,0.0,1.5,0,0,móvil,sur,27.12
CL-100286,36.0,29998.68,6,1,4.69,3.3,0,0,móvil,oeste,30.04
CL-100287,45.0,47917.82,9,0,21.64,3.6,0,0,móvil,norte,0.0
CL-100288,41.0,46997.43,8,2,11.03,3.7,0,0,móvil,norte,76.74
CL-100289,31.0,35634.04,11,1,33.62,4.3,1,1,móvil,sur,34.97
CL-100290,36.0,22700.03,14,1,27.48,3.9,0,0,móvil,oeste,26.17
CL-100291,32.0,38868.43,11,0,34.24,2.8,0,0,móvil,sur,0.0
CL-100292,31.0,25475.76,9,1,13.28,2.3,0,0,móvil,este,28.33
CL-100293,48.0,22324.93,6,0,0.0,4.3,0,0,escritorio,norte,0.0
CL-100294,42.0,8560.33,10,1,8.59,3.2,1,0,tablet,norte,31.82
CL-100295,30.0,31023.82,11,1,27.75,3.8,0,0,móvil,norte,27.56
CL-100296,49.0,23701.33,11,0,16.46,4.7,0,0,escritorio,sur,0.0
CL-100297,42.0,30964.3,8,0,8.19,3.8,0,0,móvil,sur,0.0
CL-100298,48.0,8000.0,12,1,34.89,2.5,1,0,móvil,norte,39.37
CL-100299,46.0,31698.27,13,1,38.37,3.8,1,0,móvil,norte,30.95
CL-100300,28.0,8000.0,11,0,0.0,3.4,0,0,móvil,sur,0.0
CL-100301,31.0,40879.4,10,0,23.14,2.6,0,0,móvil,sur,0.0
CL-100302,47.0,35218.91,6,1,5.43,4.3,0,0,móvil,oeste,31.78
CL-100303,45.0,27213.35,8,0,17.15,3.8,0,0,tablet,este,0.0
CL-100304,38.0,35627.2,8,2,24.14,4.9,0,0,escritorio,norte,55.26
CL-100305,39.0,20219.26,11,2,27.54,3.6,1,0,móvil,este,78.34
CL-100306,53.0,30723.76,10,1,23.92,3.1,0,0,móvil,este,28.71
CL-100307,31.0,37947.74,10,0,0.0,3.8,0,0,escritorio,este,0.0
CL-100308,45.0,8000.0,8,2,5.07,3.4,0,0,escritorio,este,55.13
CL-100309,36.0,25527.76,11,1,23.3,4.5,0,0,móvil,sur,39.34
CL-100310,35.0,29773.56,7,2,9.9,3.7,0,0,móvil,oeste,57.67
CL-100311,51.0,28037.06,8,1,19.22,3.1,0,0,tablet,este,24.92
CL-100312,48.0,44571.02,11,0,4.82,3.7,1,0,móvil,sur,0.0
CL-100313,48.0,18760.99,9,2,19.88,3.8,0,0,escritorio,norte,56.62
CL-100314,54.0,23788.41,11,1,8.01,3.8,1,0,móvil,sur,33.21
CL-100315,38.0,10841.31,11,2,5.86,3.4,1,0,escritorio,sur,79.91
CL-100316,46.0,45102.87,12,1,32.68,3.7,1,0,móvil,norte,40.59
CL-100317,34.0,27537.1,6,0,8.45,3.2,0,0,escritorio,norte,0.0
CL-100318,42.0,25615.91,5,0,15.58,3.8,0,0,móvil,norte,0.0
CL-100319,36.0,29475.17,10,0,5.25,3.0,0,0,móvil,oeste,0.0
CL-100320,39.0,36362.36,20,2,51.14,3.1,0,1,móvil,norte,54.85
CL-100321,45.0,33473.63,15,0,17.25,5.0,0,1,escritorio,sur,0.0
CL-100322,28.0,56478.84,13,3,27.67,3.2,1,0,móvil,norte,115.12
CL-100323,63.0,34539.36,4,0,1.64,3.9,0,0,escritorio,oeste,0.0
CL-100324,26.0,25347.55,15,3,27.77,2.5,0,1,móvil,sur,60.35
CL-100325,23.0,24386.43,13,4,24.94,3.4,0,0,tablet,norte,109.0
CL-100326,52.0,26072.41,8,0,10.75,4.2,0,0,móvil,oeste,0.0
